,name,link,price,area,valueperm2,Quartos,Suítes,Garagens,Condomínio R$,Cidade,IPTU R$,Total de Andar do Empreendimento,Área Total,Nome do Edifício,Área Terreno,Aceita Permuta,Posição do Sol,Posição do Imóvel,Andar do Apartamento,Unidades no Andar,Aceita Financiamento
0,SQS 208 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-208-bloco-g-132215,3.500,"90,00",38,2,1,1,770,BRASÍLIA - ASA SUL,2.106,6 Andares,,,,,,,,,
1,SQS 308 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-i-539719,3.800,"115,00",33,2,,1,1.210,BRASÍLIA - ASA SUL,,6 Andares,"115,00 m²",,,,,,,,
2,SQS 407 Bloco N,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-407-bloco-n-558454,2.500,"77,00",32,3,,,508,BRASÍLIA - ASA SUL,,,"85,00 m²",,,,,,,,
3,SQN 316 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-316-bloco-d-589121,2.600,"60,00",43,2,,1,557,BRASÍLIA - ASA NORTE,,,"75,00 m²",,,,,,,,
4,SCES Trecho 4 Apartamento Vista Piscina/Lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-505960,3.000,"48,00",62,1,1,1,1.000,BRASÍLIA - ASA SUL,,,,,,,,,,,
5,CRS 516 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-516-bloco-c-408432,1.500,"34,00",44,1,,,383,BRASÍLIA - ASA SUL,58,,"35,00 m²",,,,,,,,
6,CRS 502 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-502-bloco-b-587168,2.000,"59,00",33,1,,1,546,BRASÍLIA - ASA SUL,54,,"59,00 m²",,,,,,,,
7,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-345005,3.700,"26,00",142,1,1,1,409,BRASÍLIA - SUDOESTE,,,,ED. PORTAL MASTER,,,,,,,
8,SQS 313 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-313-bloco-h-523815,11.900,"209,00",56,3,1,2,1.700,BRASÍLIA - ASA SUL,375,,"209,00 m²",,,,,,,,
9,CA 09 Condomínio Liberty 03,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-09-518088,2.200,"62,00",35,2,,1,530,BRASÍLIA - LAGO NORTE,83,,,,"62,00 m²",,,,,,
10,SQN 212 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-212-bloco-h-578353,6.000,"154,00",38,3,2,1,1.600,BRASÍLIA - ASA NORTE,1.990,6 Andares,,,,Sim,,,,,
11,SCES Trecho 4 Apartamento maravilhoso!  - Condominio Brisas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-383579,2.700,"40,00",67,1,1,1,1.100,BRASÍLIA - ASA SUL,,6 Andares,,Condominio Brisas do Lago,,,Perpendicular,Frente,2° Andar,,
12,SQS 410 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sqs-410-bloco-a-216957,1.900,"40,00",47,1,,,220,BRASÍLIA - ASA SUL,,3 Andares,,,,,,,,,
13,SQNW 107 Bloco G EDIFÍCIO V&C 36,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-107-bloco-g-565952,12.800,"213,87",59,3,3,4,2.370,BRASÍLIA - NOROESTE,484,7 Andares,"415,00 m²",,,,Nascente,,2° Andar,2,
14,SQS 410 Bloco T OTIMO AP COM AMBIENTES AMPLOS E QUARTO DEPOSITO,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-410-bloco-t-472649,2.800,"114,00",24,3,1,,572,BRASÍLIA - ASA SUL,257,3 Andares,"150,00 m²",,,,Perpendicular,Vazado,3° Andar,,
15,SQS 403,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-403-566263,2.800,"50,00",56,2,,,565,BRASÍLIA - ASA SUL,,,"78,00 m²",,,,,,,,
16,CRS 504 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-crs-504-bloco-b-525528,1.100,"28,00",39,1,,,130,BRASÍLIA - ASA SUL,,2 Andares,"28,00 m²",,,,Nascente,Frente,1° Andar,6,
17,SQNW 109,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-109-553002,9.200,"148,00",62,4,2,4,1.648,BRASÍLIA - NOROESTE,351,,,,,,,,,,
18,SQS 207 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-207-bloco-g-554532,9.500,"105,00",90,2,1,1,,BRASÍLIA - ASA SUL,,,,,,,,,,,
19,SQS 112 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-112-bloco-e-201930,3.900,"110,00",35,3,,,889,BRASÍLIA - ASA SUL,189,,,,,,,,,,
20,SQN 313,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-313-144395,3.700,"160,00",23,3,1,1,945,BRASÍLIA - ASA NORTE,175,,,,,,,,,,
21,SQS 304 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-304-bloco-b-568393,6.800,"163,00",41,3,1,,1.100,BRASÍLIA - ASA SUL,,6 Andares,,,,,Nascente,Vazado,4° Andar,,
22,SQN 311 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-311-bloco-d-529886,3.400,"75,00",45,2,,1,646,BRASÍLIA - ASA NORTE,1.676,,,,,,,,4° Andar,,
23,SQN 408 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-408-bloco-f-594710,3.900,"120,00",32,4,1,,821,BRASÍLIA - ASA NORTE,139,,,,,,,,,,
24,SQN 303 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sqn-303-bloco-h-590017,3.500,"78,00",44,1,,,897,BRASÍLIA - ASA NORTE,145,,,,,,,,,,
25,SQNW 311 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-c-574430,2.150,"34,00",63,1,1,1,387,BRASÍLIA - NOROESTE,225,,,,,,,,,,Sim
26,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-554940,1.500,"35,00",42,1,,1,400,BRASÍLIA - LAGO NORTE,1.000,,,,,,,,6° Andar,,
27,SMAS,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-523793,15.000,"211,00",71,3,3,4,1.931,BRASÍLIA - PARK SUL,,,,,,,,,,,
