,name,link,price,area,Quartos,Suítes,Garagens,Condomínio R$,Cidade,setor
0,SQS 208 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-208-bloco-g-132215,3500,90,2.0,1.0,1.0,770.0,BRASÍLIA - ASA SUL,SQS
1,SQS 308 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-i-539719,3800,115,2.0,,1.0,1.21,BRASÍLIA - ASA SUL,SQS
2,SQS 407 Bloco N,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-407-bloco-n-558454,2500,77,3.0,,,508.0,BRASÍLIA - ASA SUL,SQS
3,SQN 316 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-316-bloco-d-589121,2600,60,2.0,,1.0,557.0,BRASÍLIA - ASA NORTE,SQN
4,SCES Trecho 4 Apartamento Vista Piscina/Lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-505960,3000,48,1.0,1.0,1.0,1.0,BRASÍLIA - ASA SUL,SCES
5,CRS 516 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-516-bloco-c-408432,1500,34,1.0,,,383.0,BRASÍLIA - ASA SUL,CRS
6,CRS 502 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-502-bloco-b-587168,2000,59,1.0,,1.0,546.0,BRASÍLIA - ASA SUL,CRS
7,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-345005,3700,26,1.0,1.0,1.0,409.0,BRASÍLIA - SUDOESTE,CCSW
8,SQS 313 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-313-bloco-h-523815,11900,209,3.0,1.0,2.0,1700.0,BRASÍLIA - ASA SUL,SQS
9,CA 09 Condomínio Liberty 03,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-09-518088,2200,62,2.0,,1.0,530.0,BRASÍLIA - LAGO NORTE,CA
10,SQN 212 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-212-bloco-h-578353,6000,154,3.0,2.0,1.0,1600.0,BRASÍLIA - ASA NORTE,SQN
11,SCES Trecho 4 Apartamento maravilhoso!  - Condominio Brisas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-383579,2700,40,1.0,1.0,1.0,1.1,BRASÍLIA - ASA SUL,SCES
12,SQS 410 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sqs-410-bloco-a-216957,1900,40,1.0,,,220.0,BRASÍLIA - ASA SUL,SQS
13,SQNW 107 Bloco G EDIFÍCIO V&C 36,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-107-bloco-g-565952,12800,213,3.0,3.0,4.0,2370.0,BRASÍLIA - NOROESTE,SQNW
14,SQS 410 Bloco T OTIMO AP COM AMBIENTES AMPLOS E QUARTO DEPOSITO,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-410-bloco-t-472649,2800,114,3.0,1.0,,572.0,BRASÍLIA - ASA SUL,SQS
15,SQS 403,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-403-566263,2800,50,2.0,,,565.0,BRASÍLIA - ASA SUL,SQS
16,CRS 504 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-crs-504-bloco-b-525528,1100,28,1.0,,,130.0,BRASÍLIA - ASA SUL,CRS
17,SQNW 109,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-109-553002,9200,148,4.0,2.0,4.0,1648.0,BRASÍLIA - NOROESTE,SQNW
18,SQS 207 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-207-bloco-g-554532,9500,105,2.0,1.0,1.0,,BRASÍLIA - ASA SUL,SQS
19,SQS 112 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-112-bloco-e-201930,3900,110,3.0,,,889.0,BRASÍLIA - ASA SUL,SQS
20,SQN 313,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-313-144395,3700,160,3.0,1.0,1.0,945.0,BRASÍLIA - ASA NORTE,SQN
21,SQS 304 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-304-bloco-b-568393,6800,163,3.0,1.0,,1100.0,BRASÍLIA - ASA SUL,SQS
22,SQN 311 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-311-bloco-d-529886,3400,75,2.0,,1.0,646.0,BRASÍLIA - ASA NORTE,SQN
23,SQN 408 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-408-bloco-f-594710,3900,120,4.0,1.0,,821.0,BRASÍLIA - ASA NORTE,SQN
24,SQN 303 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sqn-303-bloco-h-590017,3500,78,1.0,,,897.0,BRASÍLIA - ASA NORTE,SQN
25,SQNW 311 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-c-574430,2150,34,1.0,1.0,1.0,387.0,BRASÍLIA - NOROESTE,SQNW
26,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-554940,1500,35,1.0,,1.0,400.0,BRASÍLIA - LAGO NORTE,CA
27,SMAS,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-523793,15000,211,3.0,3.0,4.0,1931.0,BRASÍLIA - PARK SUL,SMAS
28,CCSW 1 Lote 4 Bloco A   - PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-lote-4-bloco-a-223859,3300,26,1.0,1.0,1.0,410.0,BRASÍLIA - SUDOESTE,CCSW
29,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-594165,1300,24,1.0,,,291.0,BRASÍLIA - ASA SUL,SEPS
30,SQS 106 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-106-bloco-e-516971,3100,115,2.0,1.0,,881.0,BRASÍLIA - ASA SUL,SQS
31,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-432460,3400,26,1.0,1.0,1.0,410.0,BRASÍLIA - SUDOESTE,CCSW
32,SQN 109,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-109-570799,4200,103,2.0,1.0,1.0,873.0,BRASÍLIA - ASA NORTE,SQN
